id,question,A,B,C,D,answer
2957,কোনো বস্তুর উপর বৈদ্যুতিক বল F=qE হলে q=2C এবং E=10 N/C হলে F কত?,20 N,200 N,2 N,0.2 N,A
2958,একটি গোলক চার্জযুক্ত হলে এর ভেতরে বিভব কেমন হয়?,বর্ধিত হয়,হ্রাস পায়,অপরিবর্তিত থাকে,শূন্য থাকে,C
2959,একটি ইলেকট্রনকে 1V বিভবে সরালে এর শক্তি কত eV হবে?,1 eV,2 eV,0.5 eV,10 eV,A
2960,1 e.m.u (Electromagnetic Unit) = কত অ্যাম্পিয়ার?,10A,1/10A,1/100A,1/1000A,A
2961,220Ω রোধকের ±10% সহনীয় মানের রোধের আসল মান কত?,200–220Ω,220–240Ω,198–242Ω,109–231Ω,C
2962,কোন পরিবাহীর দৈর্ঘ্য L এবং রোধ R হলে কোন সম্পর্কটি সঠিক?,R∝L,R∝L/σ,R∝L²,R∝1/L,A
2963,অত্যন্ত পরিবাহী পদার্থ কোনটি?,তামা,অ্যালুমিনিয়াম,সুপার কন্ডাক্টর,লৌহ,C
2964,0.2 mm² ক্ষেত্রফল এবং দৈর্ঘ্য 2mm হলে 1mm তলে কারেন্ট ঘনত্ব J কত?,2×10⁴ Am²,2×10⁶ Am²,2×10² Am²,2×10⁵ Am²,B
2965,একটি বৈদ্যুতিক মিটার 10A – 220V হলে 1000W ক্ষমতা ব্যবহারে কতটি রোধ প্রয়োজন?,5,10,22,11,C
2966,অত্যন্ত উচ্চ ক্ষমতাসম্পন্ন ক্যাপাসিটার কোনটি?,ক্যাপাসিটার,ইলেক্ট্রোলাইটিক ক্যাপাসিটার,অ্যামিটার,গ্যালভানোমিটার,C
2967,একটি কয়েলের স্ব-আবর্তকতা L হলে এর একক কী?,ওহম,হেনরি,ওয়াট,ফ্যারাড,B
2968,একটি রোধের মান 22Ω হলে তার উপর 100V ভোল্টেজে উৎপন্ন শক্তি কত?,2222,2.222,2.2kΩ,22kΩ,C
2969,একটি ভোল্টেজ উৎসের অভ্যন্তরীণ রোধ কোনটির দ্বারা প্রকাশ করা হয়?,তাপ,চালকত্ব,ফ্লাক্স,ইএমএফ,D
2970,একটি ইএমএফ উৎসের প্রতিরোধ R হলে এর রোধের সূত্র কী?,V/I,R/I,V/R,I/V,A
2971,G এবং R এর মধ্যে সম্পর্ক কোনটি?,I/G,V/G,I/V,G/V,C
2972,রাসায়নিক সমতুল্য (Chemical Equivalent) এর একক কী?,KG/SEC,B.Kg/Amp,C.Kg/C,D.amp,A
2973,অত্যন্ত দুর্বল চৌম্বক পদার্থ কোনটি?,ফেরোম্যাগনেটিক,ডায়াম্যাগনেটিক,প্যারাম্যাগনেটিক,অ্যান্টিফেরোম্যাগনেটিক,B
2974,In Anve কোনটি সঠিক?,nivE,nvi/A,Cnve,ne,B
2975,কোন মোটর সর্বাধিক কার্যকর শক্তি উৎপন্ন করে?,ইন্ডাকশন মোটর,এক্সাইটেশন মোটর,ডি.সি মোটর,ইউনিভার্সাল মোটর,C
2976,একটি রোধের দৈর্ঘ্য দ্বিগুণ ও ব্যাসার্ধ অর্ধেক হলে তার রোধ কত গুণ হবে?,2,4,8,16,D
2977,একটি রোধের দুই প্রান্তে বিভব অনুপাত 1:2 হলে ব্যাসার্ধের অনুপাত কত হবে?,1:02,1:√2,1/√2,1:01,C
2978,একটি 60W এবং একটি 100W বাতি 230V বিদ্যুৎ সরবরাহে সমান্তরালে যুক্ত করলে কোন বাতি উজ্জ্বল জ্বলবে?,60W,100W,দুটো সমান,কোনোটিই নয়,B
2979,অ্যামিটার কোন ভৌত রাশি পরিমাপে ব্যবহৃত হয়?,ভোল্টেজ,তড়িৎ প্রবাহ,শক্তি,রোধ,B
2980,একটি 100Ω রোধ 1000V ভোল্টেজে যুক্ত করলে শক্তি ক্ষয় কত হবে?,402,1202,1200,1002,C
2981,একটি বৈদ্যুতিক যন্ত্রের উপর লেখা আছে 50W–220V। যন্ত্রটির রোধ কত?,10000,9602,9682,9002,C
2982,ধাতুর সুনির্দিষ্ট তাপ নির্ণয়ের সূত্র দ্বারা 1 kg ধাতুর তাপ কত হবে?,10500C,9000C,96500C,50000C,C
2983,একটি 0.5 mm² তামার তারে 20 mA প্রবাহিত হলে তড়িৎ ঘনত্ব কত হবে?,1 mA,2 mA,3 mA,4 mA,D
2984,220V তড়িৎ বিভবে 40W বাতির রোধ কত হবে?,1210,1220,1230,1240,B
2985,একটি 100Ω রোধে 2V প্রয়োগ করলে প্রবাহ কত হবে?,0.2A,0.3A,0.4A,0.5A,A
2986,একটি বাতি 220V এ 60W হলে এর রোধ কত?,806Ω,860Ω,808Ω,609Ω,B
2987,B.O.T Unit এর পূর্ণরূপ কী?,Board of Trade,Base of Time,Basis of Transport,Bank of Trade,A
2988,একটি 40W বাতি 40 মিনিট জ্বলে থাকলে বিদ্যুৎ খরচ কত ইউনিট?,0.96,9.6,96,0.0096,A
2989,একটি 12V ব্যাটারির ইএমএফ হলে 60Ω রোধের মধ্যে প্রবাহ কত হবে?,0.2A,0.4A,0.5A,1A,B
2990,কোন ভৌত রাশির একক C.V?,কাজ,ক্ষমতা,শক্তি,ভোল্টেজ,A
2991,সিরিজ সংযোগে প্রতিরোধ নির্ণয়ের সূত্র কী?,R=R1+R2,R=R1–R2,R=R1R2,R=R1/R2,A
2992,কোন চৌম্বক পদার্থ সর্বাধিক ব্যবহৃত হয়?,ফেরাইট,কপার,অ্যালুমিনিয়াম,লোহা,D
2993,240V ভোল্টেজ 1000W বৈদ্যুতিক চুল্লিতে 15 মিনিট চালালে বিদ্যুৎ শক্তি কত ইউনিট হবে?,0.12,0.24,0.48,0.36,B
2994,একটি বৈদ্যুতিক চুল্লি 220V এ 2A প্রবাহিত হলে শক্তি কত হবে?,440W,220W,110W,880W,A
2995,একটি বাতি 220V এ 60W হলে এর রোধ কত?,806Ω,860Ω,808Ω,609Ω,B
2996,একটি রোধের দৈর্ঘ্য দ্বিগুণ এবং ব্যাস অর্ধেক করলে রোধ কত গুণ বাড়বে?,2,4,6,8,B
2997,একটি 24Ω রোধ 6V বিভবে যুক্ত হলে প্রবাহ কত হবে?,0.25A,0.5A,1A,2A,B
2998,একটি বাতি 220V এ 100W হলে এর প্রবাহ কত হবে?,0.25A,0.5A,1A,2A,B
2999,একটি রোধের দৈর্ঘ্য দ্বিগুণ করলে এবং ব্যাস অর্ধেক করলে রোধ কত গুণ বাড়বে?,2,4,8,16,D
3000,কোন কোণে চৌম্বক বল সর্বাধিক কাজ করে?,0°,45°,60°,90°,D
3001,চৌম্বক বল সর্বাধিক হয় যখন কোন শর্ত পূরণ হয়?,F=qvB sinθ,θ=90°,B সর্বাধিক,সবগুলো সঠিক,D
3002,পৃথিবীর চৌম্বকীয় অক্ষের ঝোঁক কত?,11.3°,17.3°,10.2°,12°,B
3003,চৌম্বক ক্ষেত্রে আপতিত α এবং প্রতিফলিত β এর সম্পর্ক কোনটি?,tan α = tan β,α > β,α < β,কোনোটিই নয়,A
3004,একটি ইলেকট্রন 1.6×10⁻¹⁹ C চার্জ ও 9.1×10⁻³¹ kg ভর নিয়ে B ক্ষেত্রে প্রবেশ করলে ত্বরণ কত হবে?,10¹⁰,10¹²,10¹⁴,10¹⁶,C
3005,কোন ধাতু সর্বাধিক চৌম্বকীয় ধর্ম সম্পন্ন?,বিসমাথ,গোল্ড,কপার,নিকেল,D
3006,চৌম্বক ক্ষেত্রে চার্জ q চললে বল কত?,qvB,qv/B,qB/v,q/vB,A
3007,একটি পরিবাহীর উপর বলের সূত্র কী?,BIL,BILsinθ,BILcosθ,BILtanθ,B
3008,চৌম্বক ফ্লাক্সের একক কী?,ওয়েবার,টেসলা,হেনরি,ফ্যারাড,A
3009,চৌম্বক ক্ষেত্রের একক কী?,Am²,Am²t,Cm²,Tm²,D
3010,একটি AC সার্কিটে ভোল্টেজ V এবং কারেন্ট I হলে গড় শক্তি কত?,VIcosφ,VI,V/I,VI²,A
3011,একটি পরিবাহীর উপর বল প্রয়োগ করলে কী ঘটে?,চলতে শুরু করে,তাপ উৎপন্ন হয়,রোধ বাড়ে,সবগুলো সঠিক,D
3012,একটি মোটরের দক্ষতা নির্ণয়ের সূত্র কী?,আউটপুট/ইনপুট,ইনপুট/আউটপুট,V/I,VIcosφ,A
3013,একটি কয়েল চৌম্বক ক্ষেত্রে ঘুরলে উৎপন্ন ভোল্টেজ কী ধরনের?,DC,AC,স্থির,কোনোটিই নয়,B
3014,কোন ভৌত রাশি সর্বাধিক ব্যবহৃত হয় মোটরের ক্ষমতা নির্ণয়ে?,টর্ক,ভোল্টেজ,কারেন্ট,সবগুলো সঠিক,A
3015,একটি চৌম্বক ক্ষেত্রে একটি দন্ডক তার স্থাপন করলে সর্বাধিক বল উৎপন্ন হয় কখন?,θ=0°,θ=45°,θ=90°,θ=180°,C
3016,একটি পরিবাহীর উপর বল কাজ করে না যখন এর গতি কোন দিকে হয়?,চৌম্বক ক্ষেত্রের সমান্তরাল,লম্ব,উল্টো,কোনোটিই নয়,A
3017,চৌম্বক ফ্লাক্স ঘনত্বের একক কী?,Tesla,Henry,Weber,Farad,A
3018,কোন মোটর ঘরের ফ্যানের জন্য ব্যবহৃত হয়?,AC মোটর,DC মোটর,Universal মোটর,Stepper মোটর,A
3019,কোন ভৌত রাশি চৌম্বক ধর্ম প্রকাশ করে?,µ,ε,σ,φ,A
3020,কোন পদার্থ সর্বাধিক ডায়াম্যাগনেটিক?,বিসমাথ,লোহা,নিকেল,কোবাল্ট,A
3021,চৌম্বক ক্ষেত্রে কারেন্ট I ও দৈর্ঘ্য L এর পরিবাহীর উপর বল কত?,ILB,IL/B,IB/L,ILV,A
3022,চৌম্বক ক্ষেত্রে ঘূর্ণন সৃষ্টির কারণ কী?,চৌম্বক টর্ক,বৈদ্যুতিক বল,গতি,ভোল্টেজ,A
