id,question,A,B,C,D,topic,question_type
2825,What will be the Young's modulus in dyne/cm² of a rod with a length of 3 m and a cross-sectional area of 1 cm²?,2.5×10¹⁰,5×10¹⁰,10¹¹,None of these,Miscellaneous,Miscellaneous
2826,What is the dimension of Young's modulus?,MLT⁻²,ML⁻¹T⁻¹,ML⁻²T⁻²,ML⁻¹T⁻²,Units and Dimensions,Theoretical
2827,The cross-sectional area of a rod is 1×10⁻⁴ m². If a force of 2×10⁶ N is applied to the rod's length; what will be its Young's modulus?,3×10¹¹ Nm⁻²,2.5×10¹¹ Nm⁻²,2×10¹¹ Nm⁻²,None of these,Miscellaneous,Miscellaneous
2828,How does the escape velocity on the Earth's surface compare to the escape velocity on the Moon's surface?,Greater,Less,Equal,Changed,Gravitation,Comparison
2829,At which latitude is the value of g maximum?,0°,45°,90°,180°,Gravitation,Theoretical
2830,What is the S.I. unit of the gravitational constant G?,Nm²kg⁻²,m³kg⁻¹s⁻²,m⁻³kg s²,Nm²kg⁻¹,Gravitation,Theoretical
2831,Which is the expression for gravitational potential energy E?,E = M/r,E = M/r²,E = M/r³,E = Mm²/r,Gravitation,Theoretical
2832,If the frequency of revolution from an object's axis increases; what will happen to the value of the Earth's gravitational pull?,Decreases,Increases,Stays the same,Maximum at 45°,Gravitation,Reasoning
2833,In the context of Earth; is the Sun's gravitational pull greater or the Moon's?,The Sun's pull is greater,The Moon's pull is greater,Will remain the same,The ellipse will change,Gravitation,Comparison
2834,If there were no atmosphere on the surface of the Earth; what would happen to the period of a pendulum?,Will decrease,Will increase,Will remain the same,Will be negligible,Oscillations,Reasoning
2835,A satellite orbits at a height equal to twice the Earth's radius. What will be its velocity?,√gR,2√gR,√gR/3,√gR/5,Gravitation,Mathematical
2836,Which one is an orbital division?,Movement of an airplane,Spherical orbit,Circular orbit,Earth's orbit,Miscellaneous,Miscellaneous
2837,If the altitude of the BTRC satellite is 36000 km from Earth; what is its period?,24.02 h,22.08 h,23.02 h,25.08 h,Gravitation,Mathematical
2838,What energy is needed to use a satellite?,A small amount of energy,Earth's gravitational energy,A large amount of energy,Required energy,Gravitation,Theoretical
2839,A satellite orbits at a height equal to half the Earth's radius. What will be its velocity?,√2gR,√3gR,√3gR/2,√2gR/3,Gravitation,Mathematical
2840,What is the escape velocity at the Earth's surface?,11.2 ms⁻¹,11.2 kms⁻¹,9.8 kms⁻¹,10 kms⁻¹,Gravitation,Theoretical
2841,What is the escape velocity on Mars?,11.2,10.3,4.77,3.5,Gravitation,Theoretical
2842,If an object reaches escape velocity; what will its trajectory be like?,Proportional,Increasingly proportional,Dependent on them,None of these,Gravitation,Theoretical
2843,What is the maximum velocity at which an object can be launched from Earth?,√2gR,√2 gR,gR,2√gR,Gravitation,Reasoning
2844,An object of mass m starts from rest and moves with uniform acceleration. If its velocity is v after time t; what will be the work done after time T?,mVT,½ mv²/t,½ mv²T²/t²,T⁻¹ mv²T/t²,Work and Energy,Mathematical
2845,If the velocity of an object is doubled; by what factor does its kinetic energy increase?,0.5,2,3,4,Work and Energy,Reasoning
2846,If a particle of mass 20 kg has a velocity v = (4i+5j+6k) ms⁻¹; what will be its kinetic energy?,300,600,770,1440,Work and Energy,Mathematical
2847,If the number of turns of a bicycle wheel is quadrupled; what is the change in work done?,Doubled,Halved,Tripled,Quadrupled,Work and Energy,Reasoning
2848,If an object of mass 100 kg is lifted at a velocity of 10 cms⁻¹; what is the required power in watts?,0.98,10,98,9800,Work and Energy,Mathematical
2849,If a person of 60 kg mass climbs to a height of 600 m in 30 minutes; what is their power?,196 W,392 W,588 W,98 W,Work and Energy,Mathematical
2850,What is the required Horse Power to lift 5000 gallons of water per hour to a height of 36 ft?,0.5,1,1.5,None of these,Work and Energy,Mathematical
2851,1 Horse Power = ?,746 W,467 W,764 W,647 W,Units and Dimensions,Definition
2852,Which is the dimension of power?,ML²T²,ML⁻²T⁻²,ML²T⁻³,ML⁻¹T⁻³,Units and Dimensions,Definition
2853,What is the equivalent Horse Power of 746 Watt?,Mechanical,Thermodynamic,Electric,Diesel,Units and Dimensions,Definition
2854,What is the work required for a 60 kg person to climb 180 m in 20 min?,9.58×10⁴,10.58×10⁴,12.58×10⁴,15.58×10⁴,Work and Energy,Mathematical
2855,What is the work done if an object of weight 40 N is raised to a height of 25 m?,0 J,40 J,120 J,160 J,Work and Energy,Mathematical
2856,Which is an example of work?,Fatigue,Hunger,Applying force,All of them,Work and Energy,Theoretical
2857,In an elastic collision what is the ratio of v₁/v₂?,m₁/m₂,−m₂/m₁,m₂/m₁,√(m₂/m₁),Laws of Motion,Theoretical
2858,What is the kinetic energy of a 200 gm object if v = 2i+5j?,3 J,2.9 J,3.74 J,6 J,Work and Energy,Mathematical
2859,What is the unit of angular momentum?,kg m²s⁻¹,kg ms⁻²,kg m s⁻¹,kg m² s⁻²,Rotational Motion,Definition
2860,How much force must be applied to a 30kg ball to increase its velocity to 36km/hr in 2 minutes?,2N,2.5N,300N,5N,Laws of Motion,Mathematical
2861,A 5N force acts on an object for 10s. What is the change in momentum?,60 kgms⁻¹,50 kgms⁻¹,70 kgms⁻¹,80 kgms⁻¹,Laws of Motion,Mathematical
2862,The SI unit of momentum is —,kg ms⁻¹,kg ms⁻²,kg²m²s²,kg m²s²,Laws of Motion,Definition
2863,If a force of 100 N acts on an object of mass 25 kg for 5s; what will be the value of the velocity?,20ms⁻¹,40ms⁻¹,60ms⁻¹,80ms⁻¹,Laws of Motion,Mathematical
2864,What is the molecular collision number?,10³⁰,10³⁵,10³⁹,10⁴¹,Kinetic Theory,Definition
2865,If the velocity of a 30kg ball is increased by 36km/hr in 1 minute by applying a 5N force; what is the force?,0.5,5,10,20,Laws of Motion,Mathematical
2866,The relative strength of the gravitational force is of the order of —,10³⁰,10³⁹,10⁴⁰,10⁴²,Gravitation,Theoretical
2867,Which of the following is not true for a conservative force?,Energy transformation occurs,Work done depends on the path,The form of energy is not permanently conserved,None of these,Work and Energy,Theoretical
2868,An 850 kg car is moving at a constant velocity. What must be done to determine the direction of the force acting on the car?,Newton's first law,Newton's second law,Newton's third law,Specific law of momentum,Laws of Motion,Reasoning
2869,What is the correct explanation for the conservation of a rocket's motion?,Mass,Energy,Electric momentum,Mechanical momentum,Laws of Motion,Theoretical
2870,The motion of a rocket in space is an example of —,Continuity of mass,Conservation of momentum,Motion of the center of mass,Specificity of mass,Laws of Motion,Application
2871,If the change in momentum is 0; according to the formula F = ma the value of F will be —,0,Not 0,Variable,None of these,Laws of Motion,Reasoning
2872,If a 250N force acts for 5 seconds; what will be the change in the object's momentum?,1250 kgm/s,1250 m/s²,150 kgm/s,7500 m/s²,Laws of Motion,Mathematical
2873,What does time indicate in gravitational force?,Time,Velocity,Distance,Momentum,Gravitation,Theoretical
2874,If a projectile is thrown at an angle of 30° with a velocity of 40ms⁻¹ and the vertical height is 30m; what will be the maximum height?,13.64m,31.64m,15.64m,12.64m,Kinematics,Mathematical
2875,How long will it take for a projectile thrown at an angle of 30° with a velocity of 40ms⁻¹ to reach its maximum height?,6s,4s,8s,2s,Kinematics,Mathematical
2876,What is the formula for determining the angle of projection if a projectile is thrown with a certain velocity?,Specific distance on the horizontal path,Height on the horizontal path,Distance on the horizontal path,None of these,Kinematics,Definition
2877,The equation for the time of flight of a projectile is —,T=2v₀sinθ/g,T=v₀cosθ/g,T=v₀sinθ/g,T=2v₀cosθ/g,Kinematics,Definition
2878,At what angle should a projectile be launched to cover the maximum distance?,45°,0°,90°,60°,Kinematics,Theoretical
2879,How long will it take for a projectile launched at 60° with a velocity of 40ms⁻¹ to reach its maximum height?,5.33s,3.53s,3.35s,1.5s,Kinematics,Mathematical
2880,What will be the maximum height of a projectile launched with velocity v at an angle ϴ?,v²sin²ϴ/2g,v²sinϴ/2g,v²sin²ϴ/g,2v/g,Kinematics,Definition
2881,What will be the velocity of a projectile at its maximum height if it is launched at an angle of 60° with a velocity of 30ms⁻¹?,3 ms⁻¹,√3/2 ms⁻¹,3 ms⁻¹,0 ms⁻¹,Kinematics,Mathematical
2882,The formula for the maximum height of a projectile is —,H=v²sinθ/2g,H=vcosθ/g,H=v²/2g,H=v²cos²θ/2g,Kinematics,Definition
2883,How much time will it take for a projectile launched at 30° with a velocity of 20 ms⁻¹ to reach its maximum height?,30.5m,35.5m,40.34m,20.34m,Kinematics,Mathematical
2884,The range of a projectile is —,R=v²sin2θ/g,R=v²sinθ/g,R=v²/g,R=v²sinθ/2g,Kinematics,Definition
2885,How much force must be applied to an object of mass 30kg to increase its velocity to 36km/hr in 2 minutes?,2N,2.5N,300N,5N,Laws of Motion,Mathematical
2886,A 5N force acts on an object for 10s. What is the change in momentum?,60 kgms⁻¹,50 kgms⁻¹,70 kgms⁻¹,80 kgms⁻¹,Laws of Motion,Mathematical
2887,The SI unit of momentum is —,kg ms⁻²,kg ms⁻¹,kg²m²s²,kg m²s²,Laws of Motion,Definition
2888,What will be the magnitude of the velocity if a 100 N force acts on a 25 kg mass object for 5s?,20 ms⁻¹,40 ms⁻¹,60 ms⁻¹,80 ms⁻¹,Laws of Motion,Mathematical
2889,What is the relative strength of the gravitational force?,10³⁰,10³⁵,10³⁹,10⁴¹,Gravitation,Theoretical
2890,How many Newtons of force are required to increase the velocity of a 30kg object by 36km/hr in 1 minute?,0.5,5,10,20,Laws of Motion,Mathematical
2891,What is the magnitude of the relative gravitational force?,10³⁰,10³⁹,10⁴⁰,10⁴²,Gravitation,Theoretical
2892,Which of the following is not true in the case of gravitational force?,Energy changes,Work done is zero,No reward is possible,None of these,Gravitation,Theoretical
2893,An 850 kg car is moving at a constant velocity. What is the net force acting on the car?,Newton's second law,Newton's first law,Newton's third law,Law of motion,Laws of Motion,Theoretical
2894,What is the acting force on a rocket?,Gravity,Energy,Mechanical motion,None of these,Laws of Motion,Theoretical
2895,A gravity rocket is an example of —,Gravity,Mass of gravity,Inertness of mass,None of these,Laws of Motion,Application
2896,In the case of motion with constant velocity according to F = ma; if F = 0 then — is zero.,Acceleration,Velocity,Change,None of these,Laws of Motion,Reasoning
2897,If a 250N force acts for 5s; what is the change in momentum?,1250 kgm/s,1250 m/s²,150 kgm/s,7500 m/s²,Laws of Motion,Mathematical
2898,Polarization of which of the following waves is not possible?,Light,Water,Radio,Sound,Waves,Theoretical
2899,Which property of light is used to determine the structure of a crystal?,Interference,Diffraction,Polarization,Beat,Wave Optics,Application
2900,Which of the following phenomena uniquely proves that a light wave is a transverse wave?,Polarization,Diffraction,Refraction,Interference,Wave Optics,Theoretical
2901,Considering each point on a light wavefront as a new source of spherical waves is called-,Interference,Diffraction,Polarization,None of these,Wave Optics,Definition
2902,Which of the following cannot be explained by the wave theory of light?,Reflection,Refraction,Photoelectric emission,Diffraction,Modern Physics,Theoretical
2903,Which wave does not show polarization?,X-ray,Sound wave,Radio wave,Ordinary light,Waves,Theoretical
2904,If the energy of an atom decreases from E2 to E1; what will be the wavelength of the emitted radiation?,hc/(E2-E1),c/(h(E2-E1)),hc/E2,hc/E1,Atomic Physics,Mathematical
2905,1 MeV = how many Joules?,2.6×10⁻³¹ J,2.6×10³¹ J,2.6×10¹³ J,1.6×10⁻¹³ J,Nuclear Physics,Mathematical
2906,If the energy in the first orbit of a hydrogen atom is -13.6 eV; what is the energy of its second orbit?,-6.8 eV,-3.4 eV,-27.2 eV,-4.7 eV,Atomic Physics,Mathematical
2907,If the wavelength of radiation emitted from an atom is 3315×10⁻¹⁰ m; what is the energy difference?,3.75 eV,2.75 eV,6.75 eV,None of these,Atomic Physics,Mathematical
2908,When a hydrogen atom transitions from the second state to the lowest energy level; what is the wavelength of the emitted radiation?,1.95×10⁻²⁶ m,1.21×10⁻⁷ m,1.0×10⁻⁷ m,0.15 m,Atomic Physics,Mathematical
2909,From which of the following metals does the photoelectric effect not occur?,Al,Cs,K,Na,Modern Physics,Application
2910,The work function of a metal is 6.63 eV; what is the minimum frequency to initiate photoelectric emission?,1.6×10¹⁴ Hz,16×10¹⁴ Hz,1.6×10¹⁹ Hz,1.6×10¹³ Hz,Modern Physics,Mathematical
2911,The photoelectric effect proves which property of light?,Molecule,Particle,Wave,None of these,Modern Physics,Theoretical
2912,What is the kinetic energy of a photoelectric particle at a wavelength of 6650 Å?,1.869 eV,1.532 eV,2.021 eV,2.50 eV,Modern Physics,Mathematical
2913,Which equation is used in the photoelectric effect of light?,Planck's constant formula,Einstein's formula,Heisenberg's formula,None of these,Modern Physics,Theoretical
2914,The photoelectric effect of light supports the- of light,Wave theory,Molecule theory,Particle theory,Wave-particle theory,Modern Physics,Theoretical
2915,If the work function of a metal is 1.35 eV; what is its threshold frequency?,3.26×10¹⁴,4.12×10¹⁵,6.3×10¹⁴,8.4×10¹⁵,Modern Physics,Mathematical
